Date,EGIE3,ITSA4,BBDC4,BBSE3
2/16/2016,27.528,5.55005,12.5156,23.700001
2/17/2016,27.92,5.57468,12.6534,24.809999
2/18/2016,27.712,5.47616,12.3967,24.049999
2/19/2016,27.608,5.33659,12.4468,24.209999
2/22/2016,28.200001,5.51721,13.0979,25.25
2/23/2016,27.983999,5.509,12.9727,25.030001
2/24/2016,27.816,5.46795,12.9477,23.4
2/25/2016,27.992001,5.509,12.9101,23.6
2/26/2016,27.823999,5.45974,12.9477,23.6
2/29/2016,28.24,5.59931,13.3609,24.120001
3/1/2016,28.792,5.8292,13.7365,25.440001
3/2/2016,28.408001,5.91951,14.0245,25.99
3/3/2016,28.952,6.40391,15.2767,26.9
3/4/2016,29.32,6.65842,16.8545,28.129999
3/7/2016,29.4,6.57632,16.3787,28.09
3/8/2016,30.120001,6.8062,16.4601,29.549999
3/9/2016,29.92,6.642,15.715,29.790001
3/10/2016,29.792,6.8883,16.184601,31.93
3/11/2016,29.672001,7.01146,16.760599,31.389999
3/14/2016,29.24,6.9622,16.6541,30.639999
3/15/2016,28.896,6.5599,15.7776,27.6
3/16/2016,29.024,6.3957,15.427,27.780001
3/17/2016,29.952,7.05251,17.4368,30.809999
3/18/2016,29.864,7.0443,17.205099,30.790001
3/21/2016,30.559999,7.13461,17.493099,30.85
3/22/2016,30.08,6.88009,17.3116,29.15
3/23/2016,29.792,6.67484,16.7481,28.860001
3/24/2016,29.68,6.67484,16.441299,28.540001
3/28/2016,29.648001,6.93757,17.242701,30.040001
3/29/2016,29.848,7.01146,17.5432,30.75
3/30/2016,30.16,6.95399,17.568199,30.32
3/31/2016,29.344,6.70768,16.9422,29.719999
4/1/2016,29.768,6.70768,17.280199,29.4
4/4/2016,29,6.48601,16.5665,28.43
4/5/2016,28.775999,6.45317,16.6416,28.559999
4/6/2016,28.288,6.28075,16.2034,28.360001
4/7/2016,28.472,6.37107,16.3286,29.09
4/8/2016,28.92,6.74873,17.161301,30.879999
4/11/2016,28.959999,6.76515,17.449301,30.629999
4/12/2016,29.208,7.07714,18.269501,31.940001
4/13/2016,29.6,7.10998,20.096399,32.119999
4/14/2016,29.76,6.9622,17.969,32.400002
4/15/2016,30.087999,7.07714,18.050301,33.25
4/18/2016,30.24,7.01967,17.947701,33.349998
4/19/2016,30.736,7.01146,17.989,33.59
4/20/2016,30.448,6.87188,17.975201,33.560001
4/22/2016,30.200001,6.8062,17.596399,33.75
4/25/2016,30.4,6.73231,17.1901,31.25
4/26/2016,30.368,6.97862,17.8099,31.389999
4/27/2016,31.040001,7.15103,18.4366,31.309999
4/28/2016,31,7.13461,18.0578,29.950001
4/29/2016,30.52,7.10998,17.8375,30
5/2/2016,30.24,6.95399,17.4862,29.51
5/3/2016,29.968,6.57468,17.107401,28.389999
5/4/2016,30.360001,6.68305,17.8375,28.42
5/5/2016,30.264,6.6108,17.389799,27.870001
5/6/2016,29.959999,6.6379,17.4725,27.59
5/9/2016,29.6,6.72821,17.5826,27.65
5/10/2016,29.879999,7.0443,18.3402,28.559999
5/11/2016,29.256001,6.99914,18.5193,28.18
5/12/2016,29.440001,7.08042,18.918699,28.25
5/13/2016,28.959999,6.91786,18.154301,28
5/16/2016,28.976,6.88174,17.8375,26.99
5/17/2016,28.648001,6.66499,17.2589,26.16
5/18/2016,28.952,6.66499,17.3347,27.049999
5/19/2016,28.624001,6.70111,16.976601,27.709999
5/20/2016,29.128,6.61983,16.7906,27.200001
5/23/2016,28.76,6.6379,16.8388,26.75
5/24/2016,29.040001,6.57468,16.8871,27.280001
5/25/2016,28.544001,6.56565,16.818199,27.620001
5/27/2016,28.559999,6.56565,16.577101,27.6
5/30/2016,28.48,6.55661,16.5289,27.4
5/31/2016,28.384001,6.44824,15.7025,27.26
6/1/2016,28.712,6.57468,15.9917,27.110001
6/2/2016,28.672001,6.59274,16.494499,27.5
6/3/2016,29.143999,6.6379,16.577101,27.6
6/6/2016,28.879999,6.54758,16.4807,27.370001
6/7/2016,28.84,6.66499,16.694201,26.889999
6/8/2016,29.504,6.78239,17.2176,27.27
6/9/2016,29.280001,6.82755,17.245199,27.65
6/10/2016,28.832001,6.4663,16.556499,26.75
6/13/2016,29.184,6.52952,16.832001,26.75
6/14/2016,28.879999,6.40309,16.5014,26.25
6/15/2016,28.872,6.39405,16.5289,26.98
6/16/2016,28.84,6.53855,16.776899,27.26
6/17/2016,29.024,6.44824,16.6735,27.15
6/20/2016,29.24,6.55661,16.948999,27.809999
6/21/2016,29.208,6.4934,17.1488,27.92
6/22/2016,29.016001,6.43921,17.1143,27.18
6/23/2016,29.68,6.67402,17.5413,27.83
6/24/2016,29.112,6.51146,17.107401,26.73
6/27/2016,29.375999,6.31277,16.432501,27.25
6/28/2016,30.280001,6.4934,16.8388,27.58
6/29/2016,30.76,6.64693,17.245199,28.01
6/30/2016,30.648001,6.85464,17.3416,28.110001
7/1/2016,30.535999,6.91786,17.6446,27.6
7/4/2016,30.823999,6.90883,17.7066,27.65
7/5/2016,31,6.82755,17.699699,26.889999
7/6/2016,31.191999,6.79142,17.699699,26.73
7/7/2016,31.368,6.84561,17.7686,26.48
7/8/2016,31.464001,7.0443,18.257601,27.75
7/11/2016,32.16,7.05333,18.464199,27.6
7/12/2016,32.023998,6.94495,18.3127,28.1
7/13/2016,32.216,7.10752,18.719,28.190001
